시군명,정류소명,정류소영문명,정류소id,정류소번호,중앙차로여부,관할관청,위치,WGS84위도,WGS84경도
안성시,하산리,Hasan-ri ,231000946,34542,노변정류장,경기도 안성시,경기도 안성시 일죽면,37.0689667,127.5030167
안성시,하산리,Hasan-ri,231000945,34541,노변정류장,경기도 안성시,경기도 안성시 일죽면,37.0687,127.5027833
안성시,하석파,Haseokpa,231000459,34470,노변정류장,경기도 안성시,경기도 안성시 금광면,37.01355,127.3645167
안성시,하석파,Haseokpa,231000460,34588,노변정류장,경기도 안성시,경기도 안성시 금광면,37.0135667,127.3646
안성시,하석파마을회관,Haseokpa Maeul Community Center ,231000461,34469,노변정류장,경기도 안성시,경기도 안성시 금광면,37.0122333,127.36315
안성시,하석파마을회관,Haseokpa Community Center,231000458,34468,노변정류장,경기도 안성시,경기도 안성시 금광면,37.0124667,127.3632333
안성시,하송산,Hasongsan,231000154,34178,노변정류장,경기도 안성시,경기도 안성시 서운면,36.9399167,127.2355
안성시,하장,Hajang,231000876,33631,노변정류장,경기도 안성시,경기도 안성시 삼죽면,37.0848833,127.3937333
안성시,하장경로당,,231001062,33662,,,,37.05815,127.3976833
안성시,하지문,Hajimun,231000702,34010,노변정류장,경기도 안성시,경기도 안성시 원곡면,37.0527167,127.1380833
안성시,하지문,Hajimun,231001133,33585,노변정류장,경기도 안성시,경기도 안성시 원곡면,37.0503333,127.13595
안성시,하지문,Hajimun ,231001222,34626,노변정류장,경기도 안성시,경기도 안성시 원곡면,37.0527,127.13815
안성시,하필산리,Hapilsan-ri,231000748,34129,노변정류장,경기도 안성시,경기도 안성시 양성면,37.0549833,127.2172
안성시,하현,Hahyeon,231000959,34465,노변정류장,경기도 안성시,경기도 안성시 금광면,36.9674333,127.3535333
안성시,한겨레중고등학교,Hangyeore High School ,231001107,33579,노변정류장,경기도 안성시,경기도 안성시 죽산면,37.0292,127.4207333
안성시,한겨레중고등학교,Hangyeore High School ,231001106,33727,노변정류장,경기도 안성시,경기도 안성시 죽산면,37.02935,127.42055
안성시,한경대,Hankyong National University,231000322,33121,노변정류장,경기도 안성시,경기도 안성시 석정동,37.0099167,127.2633333
안성시,한경대,Hankyong National University,231000312,33120,노변정류장,경기도 안성시,경기도 안성시 석정동,37.0098333,127.2631
안성시,한국폴리텍대학교,Korea Polytechnics,231001203,34645,노변정류장,경기도 안성시,경기도 안성시 공도읍,37.0070833,127.1745
안성시,한국폴리텍대학교,Korea Polytechnics,231001202,34637,노변정류장,경기도 안성시,경기도 안성시 공도읍,37.0070667,127.1746667
안성시,한마음세차장,Hanmaeum Car Wash,231000307,33193,노변정류장,경기도 안성시,경기도 안성시 봉산동,37.0046667,127.2784167
안성시,한불제약,Hanbul Pharm Inc.,231000694,34047,노변정류장,경기도 안성시,경기도 안성시 원곡면,37.0244333,127.1720333
안성시,한불제약,Hanbul Pharm Inc.,231000693,34048,노변정류장,경기도 안성시,경기도 안성시 원곡면,37.0245167,127.1721333
안성시,한사,Hansa,231001247,33592,노변정류장,경기도 안성시,경기도 안성시 대덕면,37.0596833,127.27875
안성시,한실,Hansil,231000895,33698,노변정류장,경기도 안성시,경기도 안성시 죽산면,37.0545167,127.4409167
안성시,한실노인회관,Hansil Seniors Community Center,231001306,33760,노변정류장,경기도 안성시,경기도 안성시 죽산면,37.0489833,127.4412667
안성시,한씨네식당,Han's Family Restaurant,231000599,34428,노변정류장,경기도 안성시,경기도 안성시 금광면,36.9931,127.3279
안성시,한씨네식당,Han's Family Restaurant,231000598,34429,노변정류장,경기도 안성시,경기도 안성시 금광면,36.9933167,127.3280333
안성시,한일아파트,Hanil Apt. ,231000246,33670,노변정류장,경기도 안성시,경기도 안성시 공도읍,37.00275,127.1760833
안성시,한일타운아파트,Hanil Town Apartment ,231000238,33039,노변정류장,경기도 안성시,경기도 안성시 공도읍,37.00245,127.1761167
안성시,한주아파트,Hanju Apartment ,231000623,33188,노변정류장,경기도 안성시,경기도 안성시 봉산동,37.00825,127.2775333
안성시,한평,Hanpyeong,231000411,33317,노변정류장,경기도 안성시,경기도 안성시 죽산면,37.1025333,127.4334
안성시,한평,Hanpyeong,231000418,33318,노변정류장,경기도 안성시,경기도 안성시 죽산면,37.1024333,127.4335833
안성시,향림,Hyangnim ,231000365,33215,노변정류장,경기도 안성시,경기도 안성시 고삼면,37.0925833,127.2855667
안성시,향림,Hyangnim ,231000362,33216,노변정류장,경기도 안성시,경기도 안성시 고삼면,37.0927667,127.2856333
안성시,현매리,Hyeonmae-ri,231000999,34152,노변정류장,경기도 안성시,경기도 안성시 서운면,36.94,127.2258667
안성시,현매리,Hyeonmae-ri,231001354,34702,노변정류장,경기도 안성시,경기도 안성시 서운면,36.9400833,127.2259
안성시,현수동,Hyeonsu-dong,231000197,33200,노변정류장,경기도 안성시,경기도 안성시 현수동,37.0006167,127.2833
안성시,현수동,Hyeonsu-dong,231000212,33201,노변정류장,경기도 안성시,경기도 안성시 현수동,37.0005833,127.2831333
안성시,형제주유소,Hyeongje Gas Station ,231000690,33031,노변정류장,경기도 안성시,경기도 안성시 공도읍,37.013,127.17185
안성시,형제주유소,Hyeongje Gas Station,231000689,33032,노변정류장,경기도 안성시,경기도 안성시 공도읍,37.01295,127.1719333
안성시,혜인물류앞,Hyein Logistics ,231001365,34724,노변정류장,경기도 안성시,경기도 안성시 원곡면,37.05675,127.1686833
안성시,호동,Hodong,231000830,33456,노변정류장,경기도 안성시,경기도 안성시 고삼면,37.0821667,127.2392
안성시,호동입구,Hodong,231000817,33519,노변정류장,경기도 안성시,경기도 안성시 고삼면,37.0770333,127.2494333
안성시,호동입구,Hodong,231001253,33746,노변정류장,경기도 안성시,경기도 안성시 고삼면,37.0758167,127.2487833
안성시,호동입구,Hodong,231001252,33740,노변정류장,경기도 안성시,경기도 안성시 고삼면,37.0759833,127.2488667
안성시,호동입구,Hodong,231000816,33635,노변정류장,경기도 안성시,경기도 안성시 고삼면,37.0770167,127.2495333
안성시,호수정감,Gubong Garden ,231000738,34598,노변정류장,경기도 안성시,경기도 안성시 양성면,37.1347333,127.2591333
안성시,호수정감,Gubong Garden,231000739,33616,노변정류장,경기도 안성시,경기도 안성시 양성면,37.1346667,127.2590667
안성시,홍익아파트,Hongik Apartment ,231000628,34422,노변정류장,경기도 안성시,경기도 안성시 금광면,37.00975,127.3265167
안성시,홍익아파트102동,Hongik Apartment #102,231000620,34426,노변정류장,경기도 안성시,경기도 안성시 금광면,37.00975,127.3277
안성시,홍익아파트102동,Hongik Apartment 102,231000621,34427,노변정류장,경기도 안성시,경기도 안성시 금광면,37.0099167,127.3277
안성시,홍익아파트117동,Hongik Apartment 117,231000622,34439,노변정류장,경기도 안성시,경기도 안성시 금광면,37.0109167,127.3313667
안성시,홍익아파트입구,Hongik Apartment 102,231000629,33555,노변정류장,경기도 안성시,경기도 안성시 금광면,37.0096,127.32645
안성시,황도빌라,Hwangdo Villa,231000686,33022,노변정류장,경기도 안성시,경기도 안성시 공도읍,37.0025333,127.1694333
안성시,황도빌라,Hwangdo Villa,231000685,33021,노변정류장,경기도 안성시,경기도 안성시 공도읍,37.0024667,127.16955
안성시,회관앞,Community Center,231001151,33689,노변정류장,경기도 안성시,경기도 안성시 보개면,37.0240167,127.29645
안성시,회암,Hoeam ,231000557,33719,노변정류장,경기도 안성시,경기도 안성시 삼죽면,37.0619333,127.3700333
안성시,회암,Hoeam ,231000558,33248,노변정류장,경기도 안성시,경기도 안성시 삼죽면,37.0627833,127.3702833
안성시,후평리,Hupyeong-ri,231000189,34132,노변정류장,경기도 안성시,경기도 안성시 미양면,36.9768167,127.2169
안성시,후평리,Hupyeong-ri,231000176,34131,노변정류장,경기도 안성시,경기도 안성시 미양면,36.9767667,127.2168333
안성시,흥일농장,Heungil Farm,231001329,33778,노변정류장,경기도 안성시,경기도 안성시 대덕면,37.04435,127.2110667
안성시,흥일농장,Heungil Farm,231001173,34116,노변정류장,경기도 안성시,경기도 안성시 대덕면,37.0442167,127.2113833
안양시,1580부대서조레스텔,Seojo Restel,208000369,9333,노변정류장,경기도 안양시,,37.39825,126.8988667
안양시,1580부대서조레스텔,Seojo Restel,208000370,9334,노변정류장,경기도 안양시,,37.3981333,126.8989
안양시,GS파워,GS Power,209000372,10337,노변정류장,경기도 안양시,,37.3919,126.9662333
안양시,H마트,H-Mart,209000320,10284,노변정류장,경기도 안양시,,37.3761167,126.961
안양시,H마트,H-Mart,209000321,10285,노변정류장,경기도 안양시,,37.3758667,126.96135
안양시,KT안양지사,KT Anyang Branch ,209000280,10246,노변정류장,경기도 안양시,,37.3935,126.9543667
안양시,LG럭키아파트,LG Lucky Apartment,209000325,10289,노변정류장,경기도 안양시,,37.3770833,126.9531
안양시,LG럭키아파트,LG Lucky Apartment ,209000353,10317,노변정류장,경기도 안양시,,37.3771,126.9529
안양시,LG아파트,LG Apartment ,208000257,9227,노변정류장,경기도 안양시,경기도 안양시 만안구 석수동,37.4291333,126.90295
안양시,LG아파트후문,LG Apartment Back Gate,208000265,9238,노변정류장,경기도 안양시,경기도 안양시 만안구 석수동,37.4305333,126.8990667
안양시,LG연구소정문,LG Research Institute Main Gate,209000330,10294,노변정류장,경기도 안양시,,37.3719333,126.9538333
