기준일자,정류소 명,정류소 번호,정류소 ID,권역,행정동 명,X 좌표,위도,Y 좌표,경도
2022-05-16,재흥시장,37300,163000300,미추홀구,주안2동,171599.9542,126.6798132,439163.0223,37.45419004
2022-05-16,저수지관리소,43264,169000264,강화군,내가면,146852.02,126.3978853,469986.0869,37.73079347
2022-05-16,저수지휴게소,43763,169000763,강화군,강화읍,153137.9626,126.4690783,471700.2314,37.74658013
2022-05-16,저수지휴게소,43567,169000567,강화군,강화읍,153096.8737,126.4686121,471701.2907,37.74658757
2022-05-16,적두마을(월곳교회),43709,169000709,강화군,강화읍,156557.136,126.5076528,475356.2979,37.77968739
2022-05-16,적두마을(월곳교회),43190,169000190,강화군,강화읍,156547.8518,126.5075477,475350.3989,37.7796338
2022-05-16,적석사입구,43847,169000847,강화군,내가면,149185.5654,126.4243375,470241.8135,37.73322992
2022-05-16,적석사입구,43348,169000348,강화군,내가면,149188.6622,126.4243716,470256.2293,37.73335997
2022-05-16,전동교회,35200,161000200,중구,동인천동,166983.4841,126.6275128,441976.6369,37.47938675
2022-05-16,전동교회,35199,161000199,중구,동인천동,166964.2064,126.6272959,441953.4161,37.47917684
2022-05-16,전득이고개입구,90187,169001187,강화군,삼산면,144298.9668,126.3693355,464631.0343,37.68239732
2022-05-16,전득이고개입구,90188,169001188,강화군,삼산면,144293.7262,126.3692763,464627.6993,37.68236695
2022-05-16,전들,43477,169000477,강화군,양사면,144327.9445,126.3687347,476758.0449,37.7916522
2022-05-16,전들,43835,169000835,강화군,양사면,144324.0082,126.3686892,476769.4396,37.79175461
2022-05-16,전등사남문,43893,169000893,강화군,길상면,155046.0724,126.4915093,459036.038,37.63257994
2022-05-16,전등사남문,43515,169000515,강화군,길상면,155067.5072,126.491753,459023.0879,37.63246432
2022-05-16,전등사동문,43895,169000895,강화군,길상면,155092.7152,126.4920217,459296.7174,37.6349308
2022-05-16,전등사동문,43521,169000521,강화군,길상면,155101.7666,126.4921279,459237.1466,37.63439454
2022-05-16,전소,35231,161000231,중구,영종동,158649.309,126.5332083,443453.0376,37.49235289
2022-05-16,전소,35232,161000232,중구,영종동,158627.4659,126.5329627,443427.6995,37.49212362
2022-05-16,전원미술관앞,43387,169000387,강화군,송해면,152250.5029,126.4588611,473953.6846,37.766836
2022-05-16,전원미술관앞,43810,169000810,강화군,송해면,152255.9164,126.4589219,473964.3916,37.76693275
2022-05-16,전인연립(종점),40132,166000132,부평구,부평3동,174652.3447,126.7141845,442823.8837,37.48726297
2022-05-16,점촌,43806,169000806,강화군,하점면,149578.4283,126.4285122,474300.0044,37.7698125
2022-05-16,점촌,43414,169000414,강화군,하점면,149583.0056,126.4285649,474288.9124,37.76971283
2022-05-16,젓개마을,35829,161000829,중구,영종동,156507.8502,126.5088983,445072.2054,37.50684257
2022-05-16,젓개마을,35828,161000828,중구,영종동,156503.2179,126.5088455,445078.9546,37.50690316
2022-05-16,젓개마을입구,35322,161000322,중구,영종동,156477.132,126.5085506,445077.172,37.50688587
2022-05-16,젓개마을입구,35398,161000398,중구,영종동,156484.501,126.5086353,445054.47,37.50668168
2022-05-16,정광아파트(병무청),37008,163000008,미추홀구,학익1동,169589.0264,126.6571558,437477.2202,37.43893707
2022-05-16,정광아파트(병무청),37009,163000009,미추홀구,학익1동,169569.4899,126.6569348,437481.7067,37.43897685
2022-05-16,정광아파트.만수주공11단지,39476,165000476,남동구,만수4동,176946.9212,126.7402139,440114.3617,37.46291061
2022-05-16,정광아파트.만수주공11단지,39477,165000477,남동구,만수2동,176944.2703,126.7401833,440134.7013,37.4630938
2022-05-16,정기무역,35083,161000083,중구,연안동,165368.3377,126.6093775,439326.2275,37.45544781
2022-05-16,정다운그린빌,92024,165001024,남동구,장수서창동,177691.0429,126.7487072,437399.0743,37.43846423
2022-05-16,정든마을아파트,40055,166000055,부평구,십정2동,173467.4841,126.7008315,441606.6498,37.47626249
2022-05-16,정든마을아파트,40057,166000057,부평구,십정1동,173476.0396,126.7009269,441644.803,37.47660649
2022-05-16,정병원,40413,166000413,부평구,부개2동,176752.5962,126.7378958,443956.6481,37.49752443
2022-05-16,정부인천지방합동청사,37386,163000386,미추홀구,도화23동,170108.5484,126.662894,440729.5247,37.46825697
2022-05-16,정부인천지방합동청사,37388,163000388,미추홀구,도화23동,170145.7368,126.6633133,440755.5013,37.46849222
2022-05-16,정비단지,37006,163000006,미추홀구,학익1동,167472.6396,126.63324,437516.7542,37.43922119
2022-05-16,정비단지,37005,163000005,미추홀구,학익1동,167505.4848,126.6336103,437535.585,37.43939201
2022-05-16,정서진삼거리,89234,168001234,서구,오류왕길동,165836.7577,126.6141417,450714.0945,37.55806733
2022-05-16,정석항공과학고,37170,163000170,미추홀구,용현14동,169825.1331,126.6597712,438757.7903,37.45048264
2022-05-16,정석항공과학고,37168,163000168,미추홀구,용현14동,169845.5058,126.6600027,438726.5427,37.45020177
2022-05-16,정수사입구,43436,169000436,강화군,화도면,152053.1598,126.45779,456206.922,37.6069399
2022-05-16,정수사입구,43404,169000404,강화군,화도면,152067.6978,126.457956,456186.0872,37.60675295
2022-05-16,정왕IC(미정차),92001,165001001,남동구,논현고잔동,176134.0927,126.7313142,431227.2605,37.3828171
2022-05-16,정왕IC(미정차),92007,165001007,남동구,논현고잔동,176225.8496,126.7323492,431262.571,37.38313761
2022-05-16,정원아파트,40710,166000710,부평구,십정1동,173482.5436,126.7009841,442095.5298,37.48066768
2022-05-16,정원아파트,40711,166000711,부평구,십정1동,173495.1758,126.7011268,442098.975,37.48069908
2022-05-16,정하,43208,169000208,강화군,양도면,152721.4101,126.4650309,461252.4811,37.65243194
2022-05-16,정하,43183,169000183,강화군,양도면,152717.625,126.4649888,461241.0943,37.65232916
2022-05-16,제물포시장,37310,163000310,미추홀구,숭의4동,169568.6977,126.6568164,440131.3582,37.46284992
2022-05-16,제물포시장,37311,163000311,미추홀구,숭의4동,169586.0139,126.657012,440132.9669,37.46286499
2022-05-16,제물포여자중학교,37288,163000288,미추홀구,주안8동,172512.8471,126.6901499,438645.1881,37.44955202
2022-05-16,제물포여자중학교,37290,163000290,미추홀구,주안8동,172479.5684,126.6897732,438660.3894,37.449688
2022-05-16,제물포여자중학교,37298,163000298,미추홀구,주안4동,172357.4495,126.6883875,438811.2144,37.45104327
2022-05-16,제물포역,37364,163000364,미추홀구,도화23동,169424.8493,126.6551662,440714.682,37.46810084
2022-05-16,제물포역,37502,163000502,미추홀구,도화23동,169547.7811,126.6565577,440668.0763,37.467685
2022-05-16,제물포역,37496,163000496,미추홀구,숭의4동,169613.0803,126.6573029,440498.1952,37.46615654
2022-05-16,제물포역,37498,163000498,미추홀구,숭의13동,169457.9533,126.6555482,440525.9797,37.46640176
2022-05-16,제물포역,37355,163000355,미추홀구,도화1동,169615.8298,126.6573328,440526.4379,37.4664111
2022-05-16,제물포역(동양빌딩),37339,163000339,미추홀구,숭의4동,169416.2447,126.6550781,440495.0361,37.46612158
2022-05-16,제물포중학교,42065,168000065,서구,가좌4동,172224.101,126.6867236,442963.6687,37.48845246
2022-05-16,제물포중학교,42064,168000064,서구,가좌4동,172241.7705,126.6869239,442951.8944,37.4883469
2022-05-16,제운사거리,37175,163000175,미추홀구,용현14동,170516.1742,126.6675902,438523.8893,37.44839754
2022-05-16,제운사거리,37534,163000534,미추홀구,주안3동,170536.4516,126.6678191,438528.4925,37.44843966
2022-05-16,제일시장,37329,163000329,미추홀구,도화1동,171214.702,126.6754375,439716.6941,37.45916664
2022-05-16,제일시장,37316,163000316,미추홀구,도화1동,171114.5668,126.6743077,439666.9796,37.45871559
2022-05-16,제일시장사거리,37667,163000667,미추홀구,도화1동,170985.7086,126.6728499,439700.6792,37.45901518
2022-05-16,제일주유소,57021,212000313,코드정보 없음,신흥동,179724.8593,126.771421,447079.513,37.52573134
2022-05-16,제일주유소,57020,212000122,코드정보 없음,신흥동,179589.4511,126.7698887,447099.1525,37.5259053
2022-05-16,제일풍경채,42833,168000833,서구,청라2동,168964.8297,126.6496325,448609.6549,37.53921771
2022-05-16,제일풍경채,42917,168000917,서구,청라2동,168616.1045,126.6456765,448850.4831,37.54137569
2022-05-16,제일풍경채,42898,168000898,서구,청라2동,168505.038,126.6444236,448762.8406,37.54058226
2022-05-16,제일풍경채1차정문앞,89350,168001350,서구,청라동,168682.1711,126.6464355,448583.7948,37.53897514
2022-05-16,제일풍경채2차,89349,168001349,서구,청라동,168717.1165,126.6468327,448540.8791,37.53858967
2022-05-16,제일풍경채2차321동앞,42873,168000873,서구,청라2동,168544.3688,126.6448818,448456.5252,37.53782378
2022-05-16,제일풍경채2차321동앞,42866,168000866,서구,청라2동,168505.741,126.6444462,448421.5441,37.53750729
2022-05-16,제일풍경채2차323동앞,42891,168000891,서구,청라2동,168566.7492,126.6451426,448279.9335,37.53623349
2022-05-16,제일풍경채2차331동앞,42989,168000989,서구,청라2동,168866.0302,126.6485285,448284.0363,37.53628063
2022-05-16,제적봉앞마을,90060,169001060,강화군,양사면,149153.3953,126.4232546,480478.3958,37.82545051
2022-05-16,제적봉앞마을,90061,169001061,강화군,양사면,149162.3953,126.4233581,480460.3958,37.82528885
2022-05-16,제적봉입구,43654,169000654,강화군,양사면,149348.273,126.4254596,480597.8623,37.82653763
2022-05-16,제적봉입구,43686,169000686,강화군,양사면,149354.6236,126.4255329,480582.1941,37.82639683
2022-05-16,조개고개,38315,164000315,연수구,옥련2동,168739.3984,126.6475783,436939.1731,37.43406096
2022-05-16,조광교회입구,43533,169000533,강화군,불은면,155325.7199,126.4943164,464927.3193,37.68567044
2022-05-16,조광교회입구,43868,169000868,강화군,불은면,155411.1692,126.4952662,465234.8134,37.68844492
2022-05-16,조남JC(미정차),70210,277103142,코드정보 없음,목감동,188295.5186,126.8686517,429945.6768,37.37150383
2022-05-16,조남JC(미정차),70211,277103143,코드정보 없음,목감동,188454.2941,126.8704441,429952.2977,37.37156549
2022-05-16,조달청(한양2차아파트),37511,163000511,미추홀구,용현5동,167428.8459,126.6326751,439100.2065,37.45348636
2022-05-16,조달청비축기지,35114,161000114,중구,연안동,167016.9872,126.6280121,439288.0494,37.45516418
2022-05-16,조달청비축기지,35115,161000115,중구,신흥동,167082.8156,126.6287539,439336.8676,37.45560638
2022-05-16,조동초등학교,39464,165000464,남동구,만수4동,176819.2753,126.7387821,439764.754,37.45975746
2022-05-16,조동초등학교,39465,165000465,남동구,만수4동,176843.682,126.7390559,439830.9168,37.46035419
2022-05-16,조리미입구,80068,232000360,코드정보 없음,사우동,175832.758,126.7270601,457098.251,37.61590394
2022-05-16,조리미입구,80069,232000428,코드정보 없음,사우동,175794.8619,126.7266288,457159.5833,37.61645553
2022-05-16,조바위,90351,169001351,강화군,건평리,147444.7661,126.4049816,464827.2476,37.6843508
2022-05-16,조바위,90350,169001350,강화군,건평리,147421.459,126.4047177,464823.2291,37.68431326
2022-05-16,조산,43334,169000334,강화군,양도면,150473.3529,126.439555,461286.1624,37.65261679
2022-05-16,조산,43192,169000192,강화군,양도면,150480.8052,126.4396387,461296.6084,37.6527113
2022-05-16,조산교회,43338,169000338,강화군,양도면,149744.0376,126.4312629,461691.7252,37.65623097
2022-05-16,조산교회,43172,169000172,강화군,양도면,149751.7433,126.4313496,461700.9232,37.65631426
2022-05-16,조산초등학교,43189,169000189,강화군,양도면,150185.7346,126.4362938,461315.8406,37.6528686
2022-05-16,조산초등학교,43593,169000593,강화군,양도면,150267.9936,126.4372096,461556.1653,37.65503822
2022-05-16,종갱이,43180,169000180,강화군,양도면,148453.4747,126.4164647,464147.3462,37.6782827
2022-05-16,종갱이,43288,169000288,강화군,양도면,148475.7848,126.4167174,464149.6541,37.67830474
2022-05-16,종근당,40005,166000005,부평구,부평3동,173208.8775,126.6979355,440850.0359,37.46943799
2022-05-16,종근당,40002,166000002,부평구,부평3동,173201.1576,126.6978497,440809.1202,37.46906912
2022-05-16,종근당.충정로역,11002,101000015,코드정보 없음,중림동,196798.7095,126.9645564,450816.3182,37.55961801
2022-05-16,종로약국,57007,212000039,코드정보 없음,신흥동,179598.4722,126.7700159,446193.7629,37.51774805
2022-05-16,종로약국,57005,212000036,코드정보 없음,신흥동,179619.6973,126.7702581,446117.2004,37.5170587
2022-05-16,종생마을,80162,232000284,코드정보 없음,대곶면,163542.5788,126.5876601,461090.4183,37.65146573
2022-05-16,종생마을,80161,232000272,코드정보 없음,대곶면,163529.8529,126.5875169,461070.0912,37.65128209
2022-05-16,종점(병무청),37014,163000014,미추홀구,학익1동,170007.7185,126.6618857,437503.4041,37.43918668
2022-05-16,종합운동장,44033,170000033,옹진군,북도면,,0,,0
2022-05-16,종합터미널,37242,163000242,미추홀구,관교동,173616.7048,126.7026556,437783.5818,37.4418212
2022-05-16,종합터미널,39177,165000177,남동구,구월1동,173640.4198,126.7029229,437800.8665,37.44197761
